PageRank,URI
0,https://www.donaldjtrump.com/media/timeline-the-trump-administrations-decisive-actions-to-combat-the-coronavirus/
0,https://nodexlgraphgallery.org/Pages/Graph.aspx?graphID=237287
0,https://www.wbaltv.com/article/maryland-coronavirus-numbers-map-faq-october-5-11/34271761
0,https://www.click2houston.com/health/2020/03/22/chart-houston-area-coronavirus-cases-in-the-past-week/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=kprc2
0,https://www.politico.com/news/2020/10/06/osha-coronavirus-penalties-426828
0,https://www.dailymail.co.uk/news/article-8815059/Nicola-Sturgeon-set-BAN-alcohol-Scotlands-pubs-force-6pm-closing.html
0,https://www.city-journal.org/trump-coronavirus-diagnosis-models-positive-masculinity
0,http://www.msn.com/en-us/news/us/how-much-would-trumps-coronavirus-treatment-cost-most-americans/ar-BB19MG4w?ocid=st
0,https://www.dailymail.co.uk/tvshowbiz/article-8813329/Wendy-Williams-mispronounced-coronavirus-cornova-Trumps-return-White-House.html
0,https://www.theguardian.com/world/live/2020/oct/07/coronavirus-live-news-six-us-states-see-record-hospital-patients-facebook-deletes-trump-post?CMP=share_btn_tw&page=with:block-5f7db5e18f08ac58bb46810c#block-5f7db5e18f08ac58bb46810c
